ItemName;ItemCode;Empresa;CreateDate;UpdateDate;u_coleccion;u_estilo;u_genero;u_descripcion;u_descrip_color;u_division;u_sellitem;BarCode;bot_type
59461/BOSTON LEOI/44/BLACK;140001374052168;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
860131/BOSTON LEOI/37/HABANA;140001384141468;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;860131;UNISEX;BOSTON LEOI;HABANA;CLASSIC;1;809410000000.0;BIRKEN
860131/BOSTON LEOI/38/HABANA;140001384141568;SBO_00_DISRESALV;11/02/2025 0:00;27/02/2025 0:00;Core Essential;860131;UNISEX;BOSTON LEOI;HABANA;CLASSIC;1;809410000000.0;BIRKEN
860131/BOSTON LEOI/39/HABANA;140001384141668;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;860131;UNISEX;BOSTON LEOI;HABANA;CLASSIC;1;809410000000.0;BIRKEN
860131/BOSTON LEOI/40/HABANA;140001384141768;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;860131;UNISEX;BOSTON LEOI;HABANA;CLASSIC;1;809410000000.0;BIRKEN
860131/BOSTON LEOI/41/HABANA;140001384141868;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;860131;UNISEX;BOSTON LEOI;HABANA;CLASSIC;1;809410000000.0;BIRKEN
860131/BOSTON LEOI/42/HABANA;140001384141968;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Core Essential;860131;UNISEX;BOSTON LEOI;HABANA;CLASSIC;1;809410000000.0;BIRKEN
1018461/ARIZONA CT M LEOI /46/BLACK;200000634052368;SBO_00_DISRESALV;29/10/2024 0:00;05/05/2025 0:00;Seasonal;1018461;MENS;ARIZONA CT M LEOI ;BLACK;ACTIVE;1;822699000000.0;BIRKEN
1018463/ARIZONA CT M LEOI FADED /42/KHAKI;200000644121968;SBO_00_DISRESALV;16/05/2024 0:00;08/11/2024 0:00;Seasonal;1018463;MENS;ARIZONA CT M LEOI FADED;KHAKI;ACTIVE;1;822699000000.0;BIRKEN
1023042/ARIZONA SYN DESERT DUST /44/BLACK VEG;200000714052168;SBO_00_DISRESALV;16/05/2024 0:00;14/06/2024 0:00;Seasonal;1023042;MENS;ARIZONA SYN DESERT DUST;BLACK VEG;CLASSIC;1;887760000000.0;BIRKEN
1023042/ARIZONA SYN DESERT DUST /45/BLACK VEG;200000714052268;SBO_00_DISRESALV;16/05/2024 0:00;14/06/2024 0:00;Seasonal;1023042;MENS;ARIZONA SYN DESERT DUST;BLACK VEG;CLASSIC;1;887760000000.0;BIRKEN
1025779/ARIZONA SYN /44/DESERT DUST GRTAUPE BR VEG;200000774112168;SBO_00_DISRESALV;16/05/2024 0:00;03/12/2024 0:00;Seasonal;1025779;MENS;ARIZONA SYN DESERT DUST;BR VEG;CLASSIC;1;192762000000.0;BIRKEN
1025779/ARIZONA SYN /45/DESERT DUST GRTAUPE BR VEG;200000774112268;SBO_00_DISRESALV;16/05/2024 0:00;05/05/2025 0:00;Seasonal;1025779;MENS;ARIZONA SYN DESERT DUST;BR VEG;CLASSIC;1;192762000000.0;BIRKEN
128201/GIZEH EVA BIRKENSTOCK/41/BLACK;140000084051868;SBO_00_DISRESALV;19/03/2024 0:00;19/05/2025 0:00;Seasonal;128201;UNISEX;GIZEH EVA BIRKENSTOCK;BLACK;ACTIVE;1;886454000000.0;BIRKEN
128201/GIZEH EVA BIRKENSTOCK/42/BLACK;140000084051968;SBO_00_DISRESALV;19/03/2024 0:00;19/05/2025 0:00;Seasonal;128201;UNISEX;GIZEH EVA BIRKENSTOCK;BLACK;ACTIVE;1;886454000000.0;BIRKEN
128201/GIZEH EVA BIRKENSTOCK/43/BLACK;140000084052068;SBO_00_DISRESALV;19/03/2024 0:00;19/05/2025 0:00;Seasonal;128201;UNISEX;GIZEH EVA BIRKENSTOCK;BLACK;ACTIVE;1;886454000000.0;BIRKEN
