U_Estilo;U_Descrip_Color;U_Descripcion;Empresa;U_Division;U_Coleccion;U_Genero
127103;BLACK;BOSTON EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
127133;WHITE;BOSTON EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
951303;TAUPE;ARIZONA SFB;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
951313;MOCCA;ARIZONA SFB;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1001505;METALLIC ANTHRACITE;GIZEH EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1005292;PATENT BLACK;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
1005294;PATENT WHITE;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
1005300;PATENT WHITE;GIZEH BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
1009527;MINK;ARIZONA SFB;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1011073;COGNAC;ARIZONA BIG BUCKLE LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
1012283;SILVER;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1014841;ELECTRIC METALLIC GOLD;ARIZONA KIDS BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;GIRLS
1015398;BLACK;BARBADOS EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1015399;WHITE;BARBADOS EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1016111;GOLD;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1017724;WHITE;BEND LOW LENA;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1018924;BLACK;ARIZONA EVA KIDS;SBO_00_DISRESALV;ACTIVE;SEASONAL;BOYS
1018941;WHITE;ARIZONA EVA KIDS;SBO_00_DISRESALV;ACTIVE;SEASONAL;BOYS
1019142;NAVY;ARIZONA EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1021360;BLACK;GIZEH BRAIDED LEOI;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1021476;HIGH SHINE BLACK;ARIZONA BB LENA;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1023115;VINTAGE WOOD BLACK;ARIZONA LE;SBO_00_DISRESALV;CLASSIC;SEASONAL;MENS
1023117;VINTAGE WOOD ROAST;ARIZONA LE;SBO_00_DISRESALV;CLASSIC;SEASONAL;MENS
1024211;HIGH SHINE BLACK;MILANO BB LENNA;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1026437;BLACK;ARIZONA BF SAFFIANO;SBO_00_DISRESALV;CLASSIC;SEASONAL;MENS
1026484;HIGH SHINE NEW BEIGE;MILANO BB LENNA;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1026515;GRACEFUL LICORICE;SYDNEY BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1026544;NEW BEIGE;UJI W LENA HS LENB;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1026622;GRACEFUL TAUPE;CATALINA BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1026631;GRACEFUL PEARL WHITE;CATALINA BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1026739;ICY GENTLE ROSE;MOGAMI AS KIDS BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;GIRLS
1026743;ELEMENTAL BLU;ARIZONA EVA KIDS;SBO_00_DISRESALV;ACTIVE;SEASONAL;BOYS
1027161;APEX BLACK;MOGAMI TERRA BF;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1027395;BLACK;ARIZONA PLATAFORM FLEX BF;SBO_00_DISRESALV;N/A;SEASONAL;WOMENS
